date,open,high,low,close,volume,average,barCount
2023-03-30,161.56,162.48,161.26,162.37,-1.0,-1.0,-1
2023-03-31,162.44,165.0,162.15,164.83,-1.0,-1.0,-1
2023-04-03,164.28,166.29,164.21,166.1,-1.0,-1.0,-1
2023-04-04,166.57,166.84,165.1,165.66,-1.0,-1.0,-1
2023-04-05,164.74,165.05,161.8,163.75,-1.0,-1.0,-1
2023-04-06,162.44,164.96,162.02,164.65,-1.0,-1.0,-1
2023-04-10,161.43,162.03,160.08,162.03,-1.0,-1.0,-1
2023-04-11,162.31,162.37,160.51,160.81,-1.0,-1.0,-1
2023-04-12,161.19,162.06,159.77,160.12,-1.0,-1.0,-1
2023-04-13,161.62,165.8,161.42,165.6,-1.0,-1.0,-1
2023-04-14,164.55,166.32,163.83,165.22,-1.0,-1.0,-1
2023-04-17,165.06,165.39,164.07,165.27,-1.0,-1.0,-1
2023-04-18,166.06,167.41,165.65,166.47,-1.0,-1.0,-1
2023-04-19,165.84,168.16,165.55,167.61,-1.0,-1.0,-1
2023-04-20,166.06,167.88,165.56,166.66,-1.0,-1.0,-1
2023-04-21,165.05,166.46,164.49,165.02,-1.0,-1.0,-1
2023-04-24,164.97,165.6,163.89,165.35,-1.0,-1.0,-1
2023-04-25,165.19,166.31,163.73,163.8,-1.0,-1.0,-1
2023-04-26,163.05,165.28,162.8,163.72,-1.0,-1.0,-1
2023-04-27,165.16,168.53,165.14,168.43,-1.0,-1.0,-1
2023-04-28,168.47,169.86,167.88,169.69,-1.0,-1.0,-1
2023-05-01,169.29,170.45,168.64,169.56,-1.0,-1.0,-1
2023-05-02,170.09,170.35,167.54,168.55,-1.0,-1.0,-1
2023-05-03,169.49,170.93,167.16,167.47,-1.0,-1.0,-1
2023-05-04,164.84,167.05,164.31,165.79,-1.0,-1.0,-1
2023-05-05,170.97,174.3,170.76,173.62,-1.0,-1.0,-1
2023-05-08,172.5,173.85,172.11,173.53,-1.0,-1.0,-1
2023-05-09,173.12,173.55,171.63,171.78,-1.0,-1.0,-1
2023-05-10,173.02,174.03,171.9,173.56,-1.0,-1.0,-1
2023-05-11,173.84,174.58,172.17,173.83,-1.0,-1.0,-1
2023-05-12,173.58,174.07,171.0,172.56,-1.0,-1.0,-1
2023-05-15,173.12,173.21,171.47,172.13,-1.0,-1.0,-1
2023-05-16,171.99,173.14,171.79,172.09,-1.0,-1.0,-1
2023-05-17,171.65,172.93,170.42,172.64,-1.0,-1.0,-1
2023-05-18,173.05,175.24,172.57,175.06,-1.0,-1.0,-1
2023-05-19,176.24,176.3,174.95,175.2,-1.0,-1.0,-1
2023-05-22,173.97,174.72,173.45,174.25,-1.0,-1.0,-1
2023-05-23,173.09,173.37,171.27,171.53,-1.0,-1.0,-1
2023-05-24,171.04,172.42,170.53,171.84,-1.0,-1.0,-1
2023-05-25,172.5,173.9,171.68,173.0,-1.0,-1.0,-1
2023-05-26,173.33,175.77,173.1,175.38,-1.0,-1.0,-1
2023-05-30,176.97,179.0,176.58,177.34,-1.0,-1.0,-1
2023-05-31,177.33,179.35,176.78,177.43,-1.0,-1.0,-1
2023-06-01,177.69,180.12,176.93,180.1,-1.0,-1.0,-1
2023-06-02,181.03,181.79,179.26,180.96,-1.0,-1.0,-1
2023-06-05,182.63,184.96,178.03,179.6,-1.0,-1.0,-1
2023-06-06,179.97,180.13,177.43,179.16,-1.0,-1.0,-1
2023-06-07,178.38,181.21,177.31,177.82,-1.0,-1.0,-1
2023-06-08,177.91,180.84,177.46,180.55,-1.0,-1.0,-1
2023-06-09,181.49,182.23,180.62,181.05,-1.0,-1.0,-1
2023-06-12,181.28,183.89,180.96,183.84,-1.0,-1.0,-1
2023-06-13,182.86,184.15,182.43,183.31,-1.0,-1.0,-1
2023-06-14,183.37,184.39,182.02,183.97,-1.0,-1.0,-1
2023-06-15,183.97,186.52,183.78,186.03,-1.0,-1.0,-1
2023-06-16,186.74,186.83,184.66,185.0,-1.0,-1.0,-1
2023-06-20,184.47,186.11,184.46,185.02,-1.0,-1.0,-1
2023-06-21,184.91,185.41,182.59,183.96,-1.0,-1.0,-1
2023-06-22,183.7,187.05,183.7,186.97,-1.0,-1.0,-1
2023-06-23,185.55,187.56,185.01,186.71,-1.0,-1.0,-1
2023-06-26,186.75,188.05,185.24,185.3,-1.0,-1.0,-1
2023-06-27,185.92,188.39,185.67,188.05,-1.0,-1.0,-1
2023-06-28,187.97,189.9,187.6,189.28,-1.0,-1.0,-1
2023-06-29,189.06,190.07,188.94,189.59,-1.0,-1.0,-1
2023-06-30,191.62,194.47,191.26,193.79,-1.0,-1.0,-1
2023-07-03,193.81,193.88,191.76,192.47,-1.0,-1.0,-1
2023-07-05,191.58,192.99,190.62,191.33,-1.0,-1.0,-1
2023-07-06,189.89,192.02,189.2,191.77,-1.0,-1.0,-1
2023-07-07,191.37,192.67,190.24,190.71,-1.0,-1.0,-1
2023-07-10,189.27,189.99,187.03,188.63,-1.0,-1.0,-1
2023-07-11,189.17,189.29,186.6,188.06,-1.0,-1.0,-1
2023-07-12,189.66,191.7,188.47,189.82,-1.0,-1.0,-1
2023-07-13,190.53,191.19,189.77,190.53,-1.0,-1.0,-1
2023-07-14,190.27,191.18,189.63,190.72,-1.0,-1.0,-1
2023-07-17,191.92,194.32,191.82,193.99,-1.0,-1.0,-1
2023-07-18,193.38,194.31,192.41,193.72,-1.0,-1.0,-1
2023-07-19,193.14,198.23,192.65,195.09,-1.0,-1.0,-1
2023-07-20,195.03,196.47,192.49,193.13,-1.0,-1.0,-1
2023-07-21,194.11,194.98,191.32,191.94,-1.0,-1.0,-1
2023-07-24,193.37,194.92,192.29,192.74,-1.0,-1.0,-1
2023-07-25,193.36,194.45,192.91,193.63,-1.0,-1.0,-1
2023-07-26,193.66,195.64,193.32,194.51,-1.0,-1.0,-1
2023-07-27,196.0,197.2,192.57,193.24,-1.0,-1.0,-1
2023-07-28,194.69,196.63,194.13,195.83,-1.0,-1.0,-1
2023-07-31,196.08,196.49,195.26,196.48,-1.0,-1.0,-1
2023-08-01,196.24,196.73,195.28,195.61,-1.0,-1.0,-1
2023-08-02,195.04,195.18,191.85,192.59,-1.0,-1.0,-1
2023-08-03,191.57,192.38,190.84,191.0,-1.0,-1.0,-1
2023-08-04,185.53,187.38,181.93,182.0,-1.0,-1.0,-1
2023-08-07,182.08,183.13,177.35,178.8,-1.0,-1.0,-1
2023-08-08,179.69,180.26,177.58,179.81,-1.0,-1.0,-1
2023-08-09,180.85,180.93,177.01,178.19,-1.0,-1.0,-1
2023-08-10,179.41,180.76,177.6,178.01,-1.0,-1.0,-1
2023-08-11,177.34,178.63,176.55,177.87,-1.0,-1.0,-1
2023-08-14,177.96,179.69,177.3,179.52,-1.0,-1.0,-1
2023-08-15,178.93,179.48,177.05,177.49,-1.0,-1.0,-1
2023-08-16,177.08,178.54,176.5,176.56,-1.0,-1.0,-1
2023-08-17,177.15,177.51,173.48,173.98,-1.0,-1.0,-1
2023-08-18,172.23,175.09,171.98,174.5,-1.0,-1.0,-1
2023-08-21,175.08,176.13,173.73,175.81,-1.0,-1.0,-1
2023-08-22,177.09,177.68,176.25,177.22,-1.0,-1.0,-1
2023-08-23,178.44,181.55,178.32,181.16,-1.0,-1.0,-1
2023-08-24,180.68,181.1,176.02,176.32,-1.0,-1.0,-1
2023-08-25,177.33,179.15,175.81,178.62,-1.0,-1.0,-1
2023-08-28,180.06,180.59,178.54,180.22,-1.0,-1.0,-1
2023-08-29,179.67,184.91,179.49,184.13,-1.0,-1.0,-1
2023-08-30,184.81,187.79,184.75,187.68,-1.0,-1.0,-1
2023-08-31,187.86,189.12,187.47,187.88,-1.0,-1.0,-1
2023-09-01,189.43,189.93,188.28,189.48,-1.0,-1.0,-1
2023-09-05,188.15,189.99,187.61,189.69,-1.0,-1.0,-1
2023-09-06,188.41,188.74,181.46,182.89,-1.0,-1.0,-1
2023-09-07,175.13,178.21,173.54,177.56,-1.0,-1.0,-1
2023-09-08,178.39,180.24,177.79,178.19,-1.0,-1.0,-1
2023-09-11,180.05,180.3,177.34,179.38,-1.0,-1.0,-1
2023-09-12,179.5,180.14,174.82,176.31,-1.0,-1.0,-1
2023-09-13,176.49,177.29,173.98,174.21,-1.0,-1.0,-1
2023-09-14,174.0,176.1,173.58,175.73,-1.0,-1.0,-1
2023-09-15,176.5,176.54,173.82,174.94,-1.0,-1.0,-1
2023-09-18,176.48,179.38,176.44,177.99,-1.0,-1.0,-1
2023-09-19,177.51,179.63,177.13,179.1,-1.0,-1.0,-1
2023-09-20,179.31,179.7,175.46,175.49,-1.0,-1.0,-1
2023-09-21,174.49,176.3,173.86,173.93,-1.0,-1.0,-1
2023-09-22,174.71,177.08,174.05,174.79,-1.0,-1.0,-1
2023-09-25,174.16,176.96,174.15,176.09,-1.0,-1.0,-1
2023-09-26,174.82,175.06,171.66,171.9,-1.0,-1.0,-1
2023-09-27,172.56,173.05,169.05,170.43,-1.0,-1.0,-1
2023-09-28,169.49,172.03,167.63,170.69,-1.0,-1.0,-1
2023-09-29,171.99,173.07,170.34,171.2,-1.0,-1.0,-1
2023-10-02,171.36,174.3,171.0,173.75,-1.0,-1.0,-1
2023-10-03,172.25,173.64,170.82,172.47,-1.0,-1.0,-1
2023-10-04,171.09,174.21,170.97,173.65,-1.0,-1.0,-1
2023-10-05,173.78,175.45,172.67,174.98,-1.0,-1.0,-1
2023-10-06,173.95,177.99,173.18,177.48,-1.0,-1.0,-1
2023-10-09,176.84,179.05,175.8,179.0,-1.0,-1.0,-1
2023-10-10,178.12,179.73,177.95,178.42,-1.0,-1.0,-1
2023-10-11,178.19,179.85,177.6,179.74,-1.0,-1.0,-1
2023-10-12,180.05,182.34,179.04,180.73,-1.0,-1.0,-1
2023-10-13,181.44,181.93,178.14,178.88,-1.0,-1.0,-1
2023-10-16,176.72,179.08,176.52,178.68,-1.0,-1.0,-1
2023-10-17,176.63,178.43,174.8,177.14,-1.0,-1.0,-1
2023-10-18,175.53,177.58,175.1,175.82,-1.0,-1.0,-1
2023-10-19,176.02,177.85,175.19,175.46,-1.0,-1.0,-1
2023-10-20,175.46,175.46,172.63,172.84,-1.0,-1.0,-1
2023-10-23,170.88,174.02,169.93,172.94,-1.0,-1.0,-1
2023-10-24,172.96,173.68,171.45,173.4,-1.0,-1.0,-1
2023-10-25,171.92,173.06,170.64,171.09,-1.0,-1.0,-1
2023-10-26,170.39,171.38,165.69,166.75,-1.0,-1.0,-1
2023-10-27,166.9,168.97,166.82,168.29,-1.0,-1.0,-1
2023-10-30,169.07,171.17,168.88,170.24,-1.0,-1.0,-1
2023-10-31,169.26,170.9,167.9,170.77,-1.0,-1.0,-1
2023-11-01,171.03,174.23,170.12,173.92,-1.0,-1.0,-1
2023-11-02,175.45,177.78,175.45,177.78,-1.0,-1.0,-1
2023-11-03,174.27,176.82,173.34,176.63,-1.0,-1.0,-1
2023-11-06,176.38,179.43,176.21,179.29,-1.0,-1.0,-1
2023-11-07,179.19,182.45,178.98,181.88,-1.0,-1.0,-1
2023-11-08,182.36,183.45,181.59,182.9,-1.0,-1.0,-1
2023-11-09,182.96,184.12,181.8,182.44,-1.0,-1.0,-1
2023-11-10,183.91,186.57,183.53,186.34,-1.0,-1.0,-1
2023-11-13,185.82,186.04,184.21,184.78,-1.0,-1.0,-1
2023-11-14,187.65,188.11,186.29,187.44,-1.0,-1.0,-1
2023-11-15,187.88,189.5,187.78,188.1,-1.0,-1.0,-1
2023-11-16,189.58,190.96,188.72,189.77,-1.0,-1.0,-1
2023-11-17,190.28,190.37,188.57,189.73,-1.0,-1.0,-1
2023-11-20,189.88,191.91,189.88,191.5,-1.0,-1.0,-1
2023-11-21,191.37,191.56,189.73,190.65,-1.0,-1.0,-1
2023-11-22,191.49,192.94,190.82,191.31,-1.0,-1.0,-1
2023-11-24,190.84,190.9,189.25,189.99,-1.0,-1.0,-1
2023-11-27,189.87,190.67,188.9,189.78,-1.0,-1.0,-1
2023-11-28,189.78,191.08,189.39,190.38,-1.0,-1.0,-1
2023-11-29,190.91,192.09,188.96,189.36,-1.0,-1.0,-1
2023-11-30,189.86,190.33,188.18,189.95,-1.0,-1.0,-1
2023-12-01,190.28,191.56,189.22,191.25,-1.0,-1.0,-1
2023-12-04,190.0,190.05,187.45,189.45,-1.0,-1.0,-1
2023-12-05,190.18,194.41,190.18,193.5,-1.0,-1.0,-1
2023-12-06,194.41,194.77,192.13,192.31,-1.0,-1.0,-1
2023-12-07,193.63,195.0,193.59,194.24,-1.0,-1.0,-1
2023-12-08,194.08,195.99,193.67,195.71,-1.0,-1.0,-1
2023-12-11,193.31,193.49,191.42,193.19,-1.0,-1.0,-1
2023-12-12,193.07,194.71,191.72,194.67,-1.0,-1.0,-1
2023-12-13,195.05,198.0,194.88,197.88,-1.0,-1.0,-1
2023-12-14,197.98,199.62,196.16,198.14,-1.0,-1.0,-1
2023-12-15,197.54,198.4,197.01,197.13,-1.0,-1.0,-1
2023-12-18,196.1,196.63,194.39,195.87,-1.0,-1.0,-1
2023-12-19,196.12,196.95,195.89,196.93,-1.0,-1.0,-1
2023-12-20,196.91,197.68,194.84,194.85,-1.0,-1.0,-1
2023-12-21,196.1,197.08,193.5,194.69,-1.0,-1.0,-1
2023-12-22,195.15,195.41,192.96,193.59,-1.0,-1.0,-1
2023-12-26,193.62,193.9,192.83,193.05,-1.0,-1.0,-1
2023-12-27,192.48,193.5,191.09,193.18,-1.0,-1.0,-1
2023-12-28,194.09,194.66,193.22,193.58,-1.0,-1.0,-1
2023-12-29,193.88,194.4,191.72,192.52,-1.0,-1.0,-1
2024-01-02,187.15,188.45,183.88,185.53,-1.0,-1.0,-1
2024-01-03,184.25,185.88,183.43,184.25,-1.0,-1.0,-1
2024-01-04,182.12,183.09,180.88,181.92,-1.0,-1.0,-1
2024-01-05,181.93,182.77,180.17,181.17,-1.0,-1.0,-1
2024-01-08,182.13,185.59,181.5,185.55,-1.0,-1.0,-1
2024-01-09,183.98,185.15,182.72,185.12,-1.0,-1.0,-1
2024-01-10,184.28,186.4,183.92,186.13,-1.0,-1.0,-1
2024-01-11,186.53,187.06,183.62,185.59,-1.0,-1.0,-1
2024-01-12,186.02,186.74,185.18,185.92,-1.0,-1.0,-1
2024-01-16,182.19,184.26,180.93,183.61,-1.0,-1.0,-1
2024-01-17,181.32,182.94,180.3,182.66,-1.0,-1.0,-1
2024-01-18,186.19,189.14,185.84,188.73,-1.0,-1.0,-1
2024-01-19,189.31,191.95,188.82,191.57,-1.0,-1.0,-1
2024-01-22,192.25,195.33,192.25,193.88,-1.0,-1.0,-1
2024-01-23,195.03,195.76,193.82,195.16,-1.0,-1.0,-1
2024-01-24,195.4,196.38,194.34,194.52,-1.0,-1.0,-1
2024-01-25,195.21,196.27,193.11,194.18,-1.0,-1.0,-1
