date,open,high,low,close,volume,average,barCount
2023-03-30,272.33,274.99,271.04,273.94,-1.0,-1.0,-1
2023-03-31,271.39,278.34,271.07,277.77,-1.0,-1.0,-1
2023-04-03,274.92,280.0,273.37,279.65,-1.0,-1.0,-1
2023-04-04,279.6,279.99,273.07,274.69,-1.0,-1.0,-1
2023-04-05,268.28,269.96,263.95,268.79,-1.0,-1.0,-1
2023-04-06,265.81,270.8,264.27,270.35,-1.0,-1.0,-1
2023-04-10,268.24,276.21,266.71,275.92,-1.0,-1.0,-1
2023-04-11,277.36,277.89,271.26,271.71,-1.0,-1.0,-1
2023-04-12,273.6,274.66,264.47,264.97,-1.0,-1.0,-1
2023-04-13,267.34,268.87,263.3,264.62,-1.0,-1.0,-1
2023-04-14,265.06,268.81,262.2,267.56,-1.0,-1.0,-1
2023-04-17,265.72,270.03,264.36,270.0,-1.0,-1.0,-1
2023-04-18,275.33,281.08,273.57,276.63,-1.0,-1.0,-1
2023-04-19,273.77,280.0,272.33,279.32,-1.0,-1.0,-1
2023-04-20,276.72,280.29,270.01,271.06,-1.0,-1.0,-1
2023-04-21,269.51,271.83,267.22,271.22,-1.0,-1.0,-1
2023-04-24,270.1,273.65,266.72,270.43,-1.0,-1.0,-1
2023-04-25,270.76,272.45,262.26,262.38,-1.0,-1.0,-1
2023-04-26,269.81,273.3,267.07,269.56,-1.0,-1.0,-1
2023-04-27,273.68,274.94,266.33,272.22,-1.0,-1.0,-1
2023-04-28,272.29,277.57,270.74,277.5,-1.0,-1.0,-1
2023-05-01,278.55,290.58,277.84,289.07,-1.0,-1.0,-1
2023-05-02,286.8,288.33,280.85,282.09,-1.0,-1.0,-1
2023-05-03,278.3,283.65,274.74,278.06,-1.0,-1.0,-1
2023-05-04,276.49,278.59,272.43,275.62,-1.0,-1.0,-1
2023-05-05,278.25,287.56,277.32,286.81,-1.0,-1.0,-1
2023-05-08,285.22,292.2,283.51,291.54,-1.0,-1.0,-1
2023-05-09,288.81,289.73,284.51,285.7,-1.0,-1.0,-1
2023-05-10,290.13,291.11,284.62,288.86,-1.0,-1.0,-1
2023-05-11,289.04,289.52,282.48,285.78,-1.0,-1.0,-1
2023-05-12,285.31,287.79,280.46,283.38,-1.0,-1.0,-1
2023-05-15,285.08,289.67,281.52,289.58,-1.0,-1.0,-1
2023-05-16,288.42,298.69,288.37,292.13,-1.0,-1.0,-1
2023-05-17,295.84,301.98,294.33,301.85,-1.0,-1.0,-1
2023-05-18,304.08,318.28,303.2,316.79,-1.0,-1.0,-1
2023-05-19,315.19,315.7,309.17,312.63,-1.0,-1.0,-1
2023-05-22,309.07,315.18,306.83,311.8,-1.0,-1.0,-1
2023-05-23,310.07,312.86,306.32,306.88,-1.0,-1.0,-1
2023-05-24,302.0,306.07,298.06,305.42,-1.0,-1.0,-1
2023-05-25,385.37,394.8,366.36,379.83,-1.0,-1.0,-1
2023-05-26,379.0,391.69,375.53,389.31,-1.0,-1.0,-1
2023-05-30,405.95,419.37,399.51,401.12,-1.0,-1.0,-1
2023-05-31,395.03,402.88,378.33,378.54,-1.0,-1.0,-1
2023-06-01,384.89,400.48,383.38,397.68,-1.0,-1.0,-1
2023-06-02,400.91,405.0,390.59,393.23,-1.0,-1.0,-1
2023-06-05,389.0,395.63,387.11,391.72,-1.0,-1.0,-1
2023-06-06,388.3,391.58,381.48,386.54,-1.0,-1.0,-1
2023-06-07,389.22,394.99,373.56,374.85,-1.0,-1.0,-1
2023-06-08,377.12,388.63,375.06,385.12,-1.0,-1.0,-1
2023-06-09,390.41,397.09,385.68,387.63,-1.0,-1.0,-1
2023-06-12,391.95,395.28,386.18,394.97,-1.0,-1.0,-1
2023-06-13,401.82,411.01,397.45,410.25,-1.0,-1.0,-1
2023-06-14,408.1,429.99,405.55,429.98,-1.0,-1.0,-1
2023-06-15,426.02,432.89,421.48,426.45,-1.0,-1.0,-1
2023-06-16,434.66,437.18,426.6,427.03,-1.0,-1.0,-1
2023-06-20,429.79,439.9,426.75,438.04,-1.0,-1.0,-1
2023-06-21,435.25,436.13,420.84,430.44,-1.0,-1.0,-1
2023-06-22,422.53,434.26,422.4,430.16,-1.0,-1.0,-1
2023-06-23,424.62,428.08,420.17,422.09,-1.0,-1.0,-1
2023-06-26,424.61,427.64,401.02,406.38,-1.0,-1.0,-1
2023-06-27,407.95,419.39,404.5,418.75,-1.0,-1.0,-1
2023-06-28,406.63,418.42,405.21,411.45,-1.0,-1.0,-1
2023-06-29,415.58,415.94,406.0,408.46,-1.0,-1.0,-1
2023-06-30,416.53,425.5,415.09,422.79,-1.0,-1.0,-1
2023-07-03,425.1,428.98,422.02,424.13,-1.0,-1.0,-1
2023-07-05,421.55,431.74,421.14,423.24,-1.0,-1.0,-1
2023-07-06,418.56,421.76,413.48,420.97,-1.0,-1.0,-1
2023-07-07,423.29,432.12,421.83,425.06,-1.0,-1.0,-1
2023-07-10,426.68,428.06,416.52,421.85,-1.0,-1.0,-1
2023-07-11,424.91,427.56,420.69,423.99,-1.0,-1.0,-1
2023-07-12,430.36,439.34,427.89,439.04,-1.0,-1.0,-1
2023-07-13,445.19,461.15,445.06,459.78,-1.0,-1.0,-1
2023-07-14,465.82,480.34,450.67,454.7,-1.0,-1.0,-1
2023-07-17,462.81,464.95,452.66,464.67,-1.0,-1.0,-1
2023-07-18,467.01,478.83,457.37,475.0,-1.0,-1.0,-1
2023-07-19,474.69,478.16,467.43,470.72,-1.0,-1.0,-1
2023-07-20,465.11,470.84,450.66,455.19,-1.0,-1.0,-1
2023-07-21,458.3,458.57,442.03,443.1,-1.0,-1.0,-1
2023-07-24,447.17,451.07,440.4,446.16,-1.0,-1.0,-1
2023-07-25,449.51,461.84,449.32,456.67,-1.0,-1.0,-1
2023-07-26,460.19,460.46,446.33,454.58,-1.0,-1.0,-1
2023-07-27,465.14,473.93,457.51,459.04,-1.0,-1.0,-1
2023-07-28,466.71,470.24,463.9,467.41,-1.0,-1.0,-1
2023-07-31,467.49,471.27,465.09,467.41,-1.0,-1.0,-1
2023-08-01,464.58,468.99,460.29,465.13,-1.0,-1.0,-1
2023-08-02,458.21,458.35,433.95,442.73,-1.0,-1.0,-1
2023-08-03,438.06,451.14,438.02,445.11,-1.0,-1.0,-1
2023-08-04,449.88,456.43,443.98,446.93,-1.0,-1.0,-1
2023-08-07,451.0,455.4,445.64,454.17,-1.0,-1.0,-1
2023-08-08,448.64,452.37,440.56,446.61,-1.0,-1.0,-1
2023-08-09,442.93,443.11,421.37,425.61,-1.0,-1.0,-1
2023-08-10,421.6,435.68,418.41,423.88,-1.0,-1.0,-1
2023-08-11,417.68,420.12,406.42,408.63,-1.0,-1.0,-1
2023-08-14,405.14,437.9,403.2,437.62,-1.0,-1.0,-1
2023-08-15,445.65,452.63,437.14,439.42,-1.0,-1.0,-1
2023-08-16,445.13,446.63,434.08,434.81,-1.0,-1.0,-1
2023-08-17,439.69,440.57,430.04,433.44,-1.0,-1.0,-1
2023-08-18,426.16,435.74,416.61,432.95,-1.0,-1.0,-1
2023-08-21,444.95,470.62,442.24,469.6,-1.0,-1.0,-1
2023-08-22,481.3,481.74,453.38,456.76,-1.0,-1.0,-1
2023-08-23,458.73,471.97,452.17,471.14,-1.0,-1.0,-1
2023-08-24,502.15,502.54,471.64,471.7,-1.0,-1.0,-1
2023-08-25,470.36,477.98,450.29,460.07,-1.0,-1.0,-1
2023-08-28,464.7,469.76,448.94,468.21,-1.0,-1.0,-1
2023-08-29,466.49,490.76,463.93,487.85,-1.0,-1.0,-1
2023-08-30,490.44,499.28,484.26,492.64,-1.0,-1.0,-1
2023-08-31,493.73,497.38,489.69,493.62,-1.0,-1.0,-1
2023-09-01,497.57,497.85,481.44,485.18,-1.0,-1.0,-1
2023-09-05,482.18,488.52,478.66,485.44,-1.0,-1.0,-1
2023-09-06,484.6,485.47,465.85,470.61,-1.0,-1.0,-1
2023-09-07,455.13,463.41,451.66,462.22,-1.0,-1.0,-1
2023-09-08,459.98,466.01,452.79,455.65,-1.0,-1.0,-1
2023-09-11,461.42,461.55,443.16,451.77,-1.0,-1.0,-1
2023-09-12,447.35,456.68,445.4,448.7,-1.0,-1.0,-1
2023-09-13,445.99,459.25,445.11,454.93,-1.0,-1.0,-1
2023-09-14,459.45,459.75,451.34,455.88,-1.0,-1.0,-1
2023-09-15,453.31,455.93,438.09,438.95,-1.0,-1.0,-1
2023-09-18,427.6,442.36,423.05,439.59,-1.0,-1.0,-1
2023-09-19,438.11,439.64,430.04,435.15,-1.0,-1.0,-1
2023-09-20,435.98,439.04,422.28,422.31,-1.0,-1.0,-1
2023-09-21,415.87,420.92,409.83,410.09,-1.0,-1.0,-1
2023-09-22,415.56,421.08,412.3,416.3,-1.0,-1.0,-1
2023-09-25,415.88,425.36,411.88,422.27,-1.0,-1.0,-1
2023-09-26,420.06,428.19,416.62,419.15,-1.0,-1.0,-1
2023-09-27,423.28,428.69,416.3,424.81,-1.0,-1.0,-1
2023-09-28,424.47,434.47,421.17,430.64,-1.0,-1.0,-1
2023-09-29,438.33,441.37,433.11,434.92,-1.0,-1.0,-1
2023-10-02,440.33,451.72,438.68,447.88,-1.0,-1.0,-1
2023-10-03,448.1,451.29,432.49,435.38,-1.0,-1.0,-1
2023-10-04,437.49,441.4,432.93,440.09,-1.0,-1.0,-1
2023-10-05,440.37,449.0,438.93,446.75,-1.0,-1.0,-1
2023-10-06,441.75,457.88,440.31,457.61,-1.0,-1.0,-1
2023-10-09,448.59,456.04,443.7,452.69,-1.0,-1.0,-1
2023-10-10,453.38,462.57,450.91,457.95,-1.0,-1.0,-1
2023-10-11,461.72,468.51,460.52,468.06,-1.0,-1.0,-1
2023-10-12,467.71,476.07,463.34,469.41,-1.0,-1.0,-1
2023-10-13,469.68,471.09,452.8,454.7,-1.0,-1.0,-1
2023-10-16,450.56,462.22,449.2,460.83,-1.0,-1.0,-1
2023-10-17,439.63,447.53,424.84,439.5,-1.0,-1.0,-1
2023-10-18,425.78,432.17,418.28,421.92,-1.0,-1.0,-1
2023-10-19,428.09,432.95,418.85,420.85,-1.0,-1.0,-1
2023-10-20,418.79,424.66,410.78,413.76,-1.0,-1.0,-1
2023-10-23,412.43,432.46,409.47,429.77,-1.0,-1.0,-1
2023-10-24,430.79,436.96,427.01,436.63,-1.0,-1.0,-1
